
January 20, 2012; Los Angeles Times; 100 words; Campaigns/Elections/Politics
January 19, 2012; Daily Herald (Everett, WA); 147 words; Disasters/Accidents
February 8, 2012; Houston Chronicle; 220 words; Campaigns/Elections/Politics
March 9, 2012; Traverse City Record; 224 words; Additional Domestic Affairs
May 6, 2012; Daily Herald (Everett, WA); 226 words; Environment
May 22, 2012; Eagle Tribune (MA); 230 words; Economy/Economics
January 18, 2012; Traverse City Record; 242 words; Transportation
March 23, 2012; USA Today; 255 words; Celebrity/Entertainment
January 5, 2012; Eagle Tribune (MA); 264 words; Campaigns/Elections/Politics
January 9, 2012; USA Today; 266 words; Transportation
February 17, 2012; Traverse City Record; 273 words; Business
May 14, 2012; Wall Street Journal; 276 words; Business
March 5, 2012; USA Today; 279 words; Science and Technology
January 2, 2012; Eagle Tribune (MA); 283 words; Lifestyle
January 24, 2012; Traverse City Record; 292 words; Environment
April 16, 2012; USA Today; 293 words; Disasters/Accidents
February 10, 2012; USA Today; 306 words; Business
March 1, 2012; Orlando Sentinel; 311 words; Health/Medicine
February 3, 2012; Daily Herald (Everett, WA); 314 words; Sports
May 18, 2012; USA Today; 317 words; Disasters/Accidents
May 16, 2012; USA Today; 319 words; Science and Technology
May 4, 2012; USA Today; 325 words; Economy/Economics
February 1, 2012; Eagle Tribune (MA); 325 words; Sports
May 18, 2012; USA Today; 328 words; Lifestyle
April 26, 2012; USA Today; 329 words; Lifestyle
January 13, 2012; USA Today; 331 words; Lifestyle
May 30, 2012; USA Today; 333 words; Lifestyle
January 3, 2012; USA Today; 338 words; Race/Gender/Gay Issues
April 10, 2012; USA Today; 339 words; Crime
January 5, 2012; USA Today; 341 words; Business
March 30, 2012; Traverse City Record; 342 words; Health/Medicine
January 30, 2012; Traverse City Record; 344 words; Economy/Economics
May 8, 2012; Traverse City Record; 346 words; Environment
February 24, 2012; USA Today; 347 words; Environment
April 20, 2012; USA Today; 347 words; Race/Gender/Gay Issues
May 10, 2012; USA Today; 348 words; Business
January 27, 2012; Traverse City Record; 348 words; Economy/Economics
January 27, 2012; USA Today; 350 words; Health/Medicine
May 22, 2012; USA Today; 350 words; Business
February 22, 2012; Eagle Tribune (MA); 352 words; Lifestyle
March 21, 2012; USA Today; 356 words; Sports
January 3, 2012; USA Today; 358 words; U.S. Foreign Affairs
February 28, 2012; USA Today; 359 words; Lifestyle
April 16, 2012; USA Today; 363 words; Transportation
May 9, 2012; Daily Herald (Everett, WA); 363 words; Education
February 10, 2012; USA Today; 364 words; Economy/Economics
January 13, 2012; USA Today; 366 words; Campaigns/Elections/Politics
February 22, 2012; USA Today; 366 words; Religion
May 4, 2012; USA Today; 366 words; U.S. Foreign Affairs
March 9, 2012; Traverse City Record; 367 words; Lifestyle
April 6, 2012; USA Today; 370 words; Government Agencies/Legislatures
February 24, 2012; USA Today; 372 words; Economy/Economics
May 24, 2012; USA Today; 373 words; Government Agencies/Legislatures
March 26, 2012; Eagle Tribune (MA); 373 words; Environment
March 13, 2012; USA Today; 374 words; Sports
February 8, 2012; USA Today; 375 words; U.S. Foreign Affairs
February 10, 2012; Eagle Tribune (MA); 375 words; Education
January 31, 2012; USA Today; 376 words; Race/Gender/Gay Issues
May 24, 2012; USA Today; 376 words; Transportation
January 27, 2012; USA Today; 378 words; Defense/Military (Domestic)
April 6, 2012; USA Today; 378 words; Government Agencies/Legislatures
April 12, 2012; USA Today; 378 words; Business
May 28, 2012; Houston Chronicle; 378 words; Campaigns/Elections/Politics
January 31, 2012; Houston Chronicle; 380 words; U.S. Foreign Affairs
May 25, 2012; Eagle Tribune (MA); 380 words; Education
April 11, 2012; Traverse City Record; 382 words; Government Agencies/Legislatures
March 23, 2012; USA Today; 384 words; Additional Domestic Affairs
January 19, 2012; USA Today; 386 words; Environment
April 2, 2012; USA Today; 386 words; Lifestyle
May 14, 2012; USA Today; 386 words; Science and Technology
April 17, 2012; Traverse City Record; 388 words; Health/Medicine
February 6, 2012; USA Today; 392 words; Economy/Economics
March 15, 2012; USA Today; 396 words; U.S. Foreign Affairs
February 22, 2012; USA Today; 397 words; Health/Medicine
April 4, 2012; USA Today; 397 words; Campaigns/Elections/Politics
May 8, 2012; USA Today; 398 words; Domestic Terrorism
January 17, 2012; USA Today; 399 words; Science and Technology
January 17, 2012; Houston Chronicle; 402 words; Disasters/Accidents
February 20, 2012; USA Today; 403 words; Economy/Economics
March 5, 2012; USA Today; 405 words; Economy/Economics
February 2, 2012; Traverse City Record; 405 words; Disasters/Accidents
April 5, 2012; Traverse City Record; 405 words; Education
January 17, 2012; Eagle Tribune (MA); 408 words; Additional Domestic Affairs
April 18, 2012; USA Today; 410 words; Health/Medicine
March 29, 2012; USA Today; 412 words; Education
May 8, 2012; Traverse City Record; 413 words; Government Agencies/Legislatures
March 8, 2012; Eagle Tribune (MA); 415 words; Development/Sprawl
March 1, 2012; USA Today; 417 words; Business
April 2, 2012; Traverse City Record; 417 words; Economy/Economics
January 9, 2012; USA Today; 422 words; Government Agencies/Legislatures
February 2, 2012; USA Today; 424 words; Defense/Military (Domestic)
January 31, 2012; USA Today; 425 words; Economy/Economics
April 30, 2012; USA Today; 429 words; Crime
February 8, 2012; Houston Chronicle; 432 words; Crime
February 8, 2012; Orlando Sentinel; 432 words; Crime
April 4, 2012; Houston Chronicle; 434 words; Disasters/Accidents
April 24, 2012; USA Today; 435 words; Health/Medicine
May 22, 2012; USA Today; 435 words; Transportation
January 2, 2012; Denver Post; 436 words; Additional Domestic Affairs
February 14, 2012; Traverse City Record; 437 words; Environment
February 28, 2012; Orlando Sentinel; 439 words; Health/Medicine
May 14, 2012; USA Today; 441 words; Business
May 17, 2012; Traverse City Record; 444 words; Environment
February 16, 2012; USA Today; 445 words; Health/Medicine
May 23, 2012; Traverse City Record; 445 words; Business
March 27, 2012; USA Today; 446 words; Economy/Economics
April 26, 2012; Traverse City Record; 446 words; Government Agencies/Legislatures
February 23, 2012; Traverse City Record; 448 words; Education
February 29, 2012; Denver Post; 451 words; Government Agencies/Legislatures
January 19, 2012; USA Today; 453 words; Government Agencies/Legislatures
February 16, 2012; USA Today; 453 words; Campaigns/Elections/Politics
February 2, 2012; USA Today; 454 words; Government Agencies/Legislatures
January 2, 2012; Eagle Tribune (MA); 454 words; Additional Domestic Affairs
February 14, 2012; USA Today; 455 words; Government Agencies/Legislatures
March 20, 2012; Eagle Tribune (MA); 455 words; Additional Domestic Affairs
March 30, 2012; Traverse City Record; 458 words; Government Agencies/Legislatures
February 20, 2012; USA Today; 463 words; Lifestyle
March 19, 2012; USA Today; 463 words; Science and Technology
January 19, 2012; Houston Chronicle; 463 words; Campaigns/Elections/Politics
February 10, 2012; Eagle Tribune (MA); 468 words; Campaigns/Elections/Politics
January 11, 2012; Houston Chronicle; 469 words; Immigration
March 15, 2012; Orlando Sentinel; 470 words; Domestic Terrorism
February 9, 2012; Daily Herald (Everett, WA); 470 words; Race/Gender/Gay Issues
February 10, 2012; Eagle Tribune (MA); 470 words; Education
January 5, 2012; USA Today; 471 words; Campaigns/Elections/Politics
April 16, 2012; Eagle Tribune (MA); 472 words; Additional Domestic Affairs
March 21, 2012; USA Today; 473 words; Campaigns/Elections/Politics
April 12, 2012; USA Today; 473 words; U.S. Foreign Affairs
February 23, 2012; Traverse City Record; 473 words; Economy/Economics
May 2, 2012; USA Today; 475 words; U.S. Foreign Affairs
January 20, 2012; Denver Post; 475 words; Health/Medicine
January 15, 2012; Traverse City Record; 475 words; Additional Domestic Affairs
March 5, 2012; Eagle Tribune (MA); 475 words; Campaigns/Elections/Politics
March 5, 2012; Eagle Tribune (MA); 477 words; Campaigns/Elections/Politics
February 27, 2012; Denver Post; 478 words; Business
February 22, 2012; Eagle Tribune (MA); 480 words; Economy/Economics
April 16, 2012; Eagle Tribune (MA); 480 words; Education
May 2, 2012; Orlando Sentinel; 482 words; Crime
April 26, 2012; USA Today; 483 words; Immigration
May 30, 2012; USA Today; 488 words; Health/Medicine
April 26, 2012; Traverse City Record; 489 words; Education
March 13, 2012; USA Today; 490 words; Economy/Economics
May 16, 2012; Eagle Tribune (MA); 490 words; Economy/Economics
May 8, 2012; USA Today; 493 words; Health/Medicine
February 7, 2012; Eagle Tribune (MA); 493 words; Government Agencies/Legislatures
April 13, 2012; Denver Post; 494 words; Campaigns/Elections/Politics
March 1, 2012; USA Today; 495 words; Additional Domestic Affairs
March 7, 2012; USA Today; 495 words; Campaigns/Elections/Politics
April 10, 2012; USA Today; 495 words; Lifestyle
January 11, 2012; USA Today; 500 words; Campaigns/Elections/Politics
March 27, 2012; Houston Chronicle; 501 words; Health/Medicine
January 25, 2012; Houston Chronicle; 504 words; Education
January 9, 2012; Houston Chronicle; 505 words; Sports
January 16, 2012; Daily Herald (Everett, WA); 505 words; Additional Domestic Affairs
April 8, 2012; Traverse City Record; 506 words; Economy/Economics
March 14, 2012; Denver Post; 509 words; U.S. Foreign Affairs
May 20, 2012; Traverse City Record; 509 words; Education
March 27, 2012; USA Today; 511 words; Health/Medicine
March 2, 2012; Denver Post; 511 words; Lifestyle
March 29, 2012; USA Today; 512 words; Health/Medicine
January 5, 2012; Orlando Sentinel; 514 words; Economy/Economics
March 15, 2012; USA Today; 515 words; Business
January 31, 2012; Houston Chronicle; 515 words; Health/Medicine
May 14, 2012; Traverse City Record; 516 words; Environment
May 3, 2012; Daily Herald (Everett, WA); 516 words; Additional Domestic Affairs
February 14, 2012; USA Today; 517 words; Campaigns/Elections/Politics
February 28, 2012; USA Today; 520 words; Economy/Economics
January 23, 2012; Eagle Tribune (MA); 530 words; Sports
March 26, 2012; Eagle Tribune (MA); 530 words; Education
April 17, 2012; Traverse City Record; 531 words; Transportation
May 2, 2012; Orlando Sentinel; 532 words; Science and Technology
May 2, 2012; Houston Chronicle; 535 words; Immigration
February 6, 2012; Daily Herald (Everett, WA); 538 words; Economy/Economics
April 20, 2012; Traverse City Record; 539 words; Education
March 9, 2012; Traverse City Record; 542 words; Education
April 5, 2012; Denver Post; 543 words; Campaigns/Elections/Politics
April 24, 2012; USA Today; 545 words; Immigration
February 2, 2012; Traverse City Record; 548 words; Disasters/Accidents
April 30, 2012; Houston Chronicle; 549 words; Health/Medicine
May 13, 2012; Houston Chronicle; 549 words; Immigration
February 1, 2012; Eagle Tribune (MA); 549 words; Domestic Terrorism
May 4, 2012; Houston Chronicle; 550 words; Sports
January 5, 2012; Eagle Tribune (MA); 552 words; Education
April 12, 2012; Houston Chronicle; 553 words; Education
February 16, 2012; Houston Chronicle; 554 words; Campaigns/Elections/Politics
April 24, 2012; Houston Chronicle; 555 words; Sports
May 16, 2012; Eagle Tribune (MA); 557 words; Additional Domestic Affairs
May 21, 2012; Daily Herald (Everett, WA); 559 words; Education
April 16, 2012; Eagle Tribune (MA); 560 words; Government Agencies/Legislatures
February 21, 2012; Denver Post; 561 words; Campaigns/Elections/Politics
May 2, 2012; Orlando Sentinel; 561 words; Religion
March 11, 2012; Eagle Tribune (MA); 561 words; Government Agencies/Legislatures
March 13, 2012; Houston Chronicle; 563 words; U.S. Foreign Affairs
January 10, 2012; Denver Post; 566 words; Health/Medicine
February 23, 2012; Denver Post; 569 words; Health/Medicine
March 13, 2012; Houston Chronicle; 569 words; Campaigns/Elections/Politics
January 17, 2012; USA Today; 575 words; Sports
March 5, 2012; Eagle Tribune (MA); 576 words; Business
May 22, 2012; Houston Chronicle; 577 words; Business
February 22, 2012; Orlando Sentinel; 577 words; Sports
March 2, 2012; Eagle Tribune (MA); 579 words; Race/Gender/Gay Issues
March 13, 2012; Houston Chronicle; 580 words; Economy/Economics
January 3, 2012; Houston Chronicle; 583 words; Campaigns/Elections/Politics
April 4, 2012; Houston Chronicle; 583 words; Campaigns/Elections/Politics
May 7, 2012; Eagle Tribune (MA); 583 words; Economy/Economics
May 23, 2012; Traverse City Record; 584 words; Foreign (non-U.S.)
May 1, 2012; Eagle Tribune (MA); 584 words; Campaigns/Elections/Politics
April 9, 2012; Daily Herald (Everett, WA); 585 words; Transportation
April 4, 2012; Eagle Tribune (MA); 585 words; Education
January 15, 2012; Traverse City Record; 589 words; Additional Domestic Affairs
May 28, 2012; Eagle Tribune (MA); 591 words; Additional Domestic Affairs
May 29, 2012; Traverse City Record; 592 words; Additional Domestic Affairs
April 24, 2012; Houston Chronicle; 593 words; Immigration
April 19, 2012; Eagle Tribune (MA); 595 words; Economy/Economics
February 24, 2012; Houston Chronicle; 596 words; Education
February 14, 2012; Traverse City Record; 597 words; Environment
May 24, 2012; Daily Herald (Everett, WA); 597 words; Environment
January 23, 2012; Eagle Tribune (MA); 598 words; Transportation
April 13, 2012; Eagle Tribune (MA); 600 words; Campaigns/Elections/Politics
April 11, 2012; Denver Post; 601 words; Education
April 4, 2012; Houston Chronicle; 601 words; Transportation
March 7, 2012; Orlando Sentinel; 601 words; Business
February 29, 2012; Traverse City Record; 601 words; Economy/Economics
March 8, 2012; Denver Post; 602 words; Disasters/Accidents
January 19, 2012; Orlando Sentinel; 602 words; Lifestyle
February 24, 2012; Daily Herald (Everett, WA); 602 words; Government Agencies/Legislatures
March 15, 2012; Houston Chronicle; 603 words; Business
